instancia,algoritmo,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
Western Sahara,BLMM2opt,29071,29071,29071,29071,29071,29071,29071,29071,29071,29071
Western Sahara,BLMMsh,35658,34895,34895,34895,34895,34895,34895,34895,34895,34895
Western Sahara,BLMMnode swap,-42282156,-84925996,-127488720,-175411203,-260223775,-346733680,-433464375,-520090160,-605893815,-692479351
Western Sahara,BLPM2opt,27603,27603,27603,27603,27603,27603,27603,27603,27603,27603
Western Sahara,BLPMsh,28593,28593,28593,28593,28593,28593,28593,28593,28593,28593
Western Sahara,BLPMnode swap,-2708600564,-5335338276,-8759398004,-11402635316,-14520490524,-17608842956,-20868147164,-23856032396,-27066901316,-29870295524
Djibouti,BLMM2opt,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965
Djibouti,BLMMsh,7941,7941,7941,7941,7941,7941,7941,7941,7941,7941
Djibouti,BLMMnode swap,-30431509,-61011542,-91554482,-122161970,-152839874,-183570590,-214440253,-245366498,-276243914,-308377082
Djibouti,BLPM2opt,6656,6656,6656,6656,6656,6656,6656,6656,6656,6656
Djibouti,BLPMsh,8377,8377,8377,8377,8377,8377,8377,8377,8377,8377
Djibouti,BLPMnode swap,-719491008,-1350361248,-2099221678,-2748549312,-3465856032,-4185945070,-4861149984,-5584409664,-6200540302,-6928861870
Qatar,BLMM2opt,10352,10352,10352,10352,10352,10352,10352,10352,10352,10352
Qatar,BLMMsh,14702,14700,14700,14671,14671,14671,14671,14671,14671,14671
Qatar,BLMMnode swap,-3955147,-8082435,-11995679,-16046431,-20119847,-24160651,-28268083,-32362759,-36406411,-40291335
Qatar,BLPM2opt,10033,10033,10033,10033,10033,10033,10033,10033,10033,10033
Qatar,BLPMsh,13937,13937,13937,13937,13937,13937,13937,13937,13937,13937
Qatar,BLPMnode swap,-850719168,-1655118912,-2563342998,-3360611136,-4325812422,-5345705760,-6262926246,-7328372784,-8261729670,-9303614208
Uruguay,BLMM2opt,213100,90239,86485,86485,86485,86485,86485,86485,86485,86485
