instancia,autoria,algoritmo,q-medio,q-desvio,t-medio,% do ótimo
Western Sahara,CristianoDaniele,BLMM2opt,27750.0,0.0,0.0,100.53
Western Sahara,CristianoDaniele,BLMMsh,30216.0,0.0,0.0,109.47
Western Sahara,CristianoDaniele,BLMM NodeSwap,54610.0,0.0,0.0,197.84
Western Sahara,CristianoDaniele,BLPM2opt,28827.0,0.0,0.0,104.43
Western Sahara,CristianoDaniele,BLPMsh,28376.0,0.0,0.0,102.8
Western Sahara,CristianoDaniele,BLPM NodeSwap,75906.0,0.0,0.0,274.99
Djibouti,CristianoDaniele,BLMM2opt,6808.0,0.0,0.0,102.28
Djibouti,CristianoDaniele,BLMMsh,10244.0,0.0,0.01,153.91
Djibouti,CristianoDaniele,BLMM NodeSwap,13950.0,0.0,0.0,209.59
Djibouti,CristianoDaniele,BLPM2opt,7808.0,0.0,0.0,117.31
Djibouti,CristianoDaniele,BLPMsh,8714.0,0.0,0.01,130.92
Djibouti,CristianoDaniele,BLPM NodeSwap,15387.0,0.0,0.0,231.17
Qatar,CristianoDaniele,BLMM2opt,10456.0,0.0,0.31,111.8
Qatar,CristianoDaniele,BLMMsh,12344.0,0.0,1.27,131.99
Qatar,CristianoDaniele,BLMM NodeSwap,53708.0,0.0,0.42,574.29
Qatar,CristianoDaniele,BLPM2opt,10084.0,0.0,0.52,107.83
Qatar,CristianoDaniele,BLPMsh,14253.0,0.0,0.48,152.41
Qatar,CristianoDaniele,BLPM NodeSwap,41945.0,0.0,0.23,448.51
Uruguay,CristianoDaniele,BLMM2opt,125048.5,104068.63,24.38,158.06
Uruguay,CristianoDaniele,BLMMsh,531861.1,296781.93,69.05,672.27
Uruguay,CristianoDaniele,BLMM NodeSwap,905084.0,19873.26,68.85,1144.03
Uruguay,CristianoDaniele,BLPM2opt,172593.8,150947.0,39.69,218.16
Uruguay,CristianoDaniele,BLPMsh,211522.0,75298.47,68.82,267.36
Uruguay,CristianoDaniele,BLPM NodeSwap,904640.2,5700.65,59.76,1143.46
Zimbabwe,CristianoDaniele,BLMM2opt,202650.9,250914.89,46.75,212.54
Zimbabwe,CristianoDaniele,BLMMsh,929055.6,416341.8,87.52,974.41
Zimbabwe,CristianoDaniele,BLMM NodeSwap,1170008.4,48517.0,87.26,1227.13
Zimbabwe,CristianoDaniele,BLPM2opt,195633.3,119899.88,79.8,205.18
Zimbabwe,CristianoDaniele,BLPMsh,359253.9,170381.86,87.01,376.79
Zimbabwe,CristianoDaniele,BLPM NodeSwap,1279578.3,3814.72,47.28,1342.05
