instancia,algoritmo,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
Western Sahara,BLMM2opt,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750
Western Sahara,BLMMsh,30216,30216,30216,30216,30216,30216,30216,30216,30216,30216
Western Sahara,BLMM NodeSwap,54610,54610,54610,54610,54610,54610,54610,54610,54610,54610
Western Sahara,BLPM2opt,28827,28827,28827,28827,28827,28827,28827,28827,28827,28827
Western Sahara,BLPMsh,28376,28376,28376,28376,28376,28376,28376,28376,28376,28376
Western Sahara,BLPM NodeSwap,75906,75906,75906,75906,75906,75906,75906,75906,75906,75906
Djibouti,BLMM2opt,6808,6808,6808,6808,6808,6808,6808,6808,6808,6808
Djibouti,BLMMsh,10244,10244,10244,10244,10244,10244,10244,10244,10244,10244
Djibouti,BLMM NodeSwap,13950,13950,13950,13950,13950,13950,13950,13950,13950,13950
Djibouti,BLPM2opt,7808,7808,7808,7808,7808,7808,7808,7808,7808,7808
Djibouti,BLPMsh,8714,8714,8714,8714,8714,8714,8714,8714,8714,8714
Djibouti,BLPM NodeSwap,15387,15387,15387,15387,15387,15387,15387,15387,15387,15387
Qatar,BLMM2opt,10456,10456,10456,10456,10456,10456,10456,10456,10456,10456
Qatar,BLMMsh,12344,12344,12344,12344,12344,12344,12344,12344,12344,12344
Qatar,BLMM NodeSwap,53708,53708,53708,53708,53708,53708,53708,53708,53708,53708
Qatar,BLPM2opt,10084,10084,10084,10084,10084,10084,10084,10084,10084,10084
Qatar,BLPMsh,14253,14253,14253,14253,14253,14253,14253,14253,14253,14253
Qatar,BLPM NodeSwap,41945,41945,41945,41945,41945,41945,41945,41945,41945,41945
Uruguay,BLMM2opt,416624,144182,90661,85574,85574,85574,85574,85574,85574,85574
Uruguay,BLMMsh,1154494,873934,692765,567718,470072,397240,343682,305954,274870,237882
Uruguay,BLMM NodeSwap,956937,917923,906910,901393,898201,896147,894810,893738,892709,892072
Uruguay,BLPM2opt,554727,300175,184162,152089,107650,85427,85427,85427,85427,85427
Uruguay,BLPMsh,381643,292833,239690,208331,193000,181451,168709,158949,150758,139856
Uruguay,BLPM NodeSwap,915690,911539,908045,906095,904345,902270,900754,899564,899050,899050
Zimbabwe,BLMM2opt,901558,265616,144394,109853,101488,100720,100720,100720,100720,100720
Zimbabwe,BLMMsh,1804873,1403494,1148346,978824,847718,750580,675495,618479,561615,501132
Zimbabwe,BLMM NodeSwap,1298888,1198619,1169743,1158861,1152808,1147194,1144976,1143602,1142914,1142479
Zimbabwe,BLPM2opt,477136,295884,263375,192141,155848,138209,120170,107109,103724,102737
Zimbabwe,BLPMsh,749236,540626,423595,353562,309238,275833,259031,238807,225970,216641
Zimbabwe,BLPM NodeSwap,1289385,1282078,1280730,1278716,1277654,1277444,1277444,1277444,1277444,1277444
